GCC,LCC,PAYGROUP,OPEN_DATE,CLOSE_DATE,PAYSCHEDULE,PAYDATE,CUTOFFDATE
FER,ES006,GI,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES002,C2,2024-09-26,2024-10-26,30,2024-09-27,2024-09-25
FER,ES004,C2,2024-09-27,2024-10-26,30,2024-09-27,2024-09-25
FER,ES005,C2,2024-09-27,2024-10-26,30,2024-09-27,2024-09-25
FER,ES002,C2,2024-10-29,2024-11-26,28,2024-10-25,2024-10-26
FER,CL001,3C,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,3C,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,CL001,3C,2024-12-31,,,2024-12-31,2024-12-26
FER,ES005,CA,2024-07-29,2024-08-27,29,2024-07-27,2024-07-23
FER,ES005,CA,2024-08-28,2024-09-25,28,2024-08-29,2024-08-26
FER,ES005,CA,2024-09-26,2024-10-26,30,2024-09-27,2024-09-24
FER,ES005,CA,2024-10-29,2024-11-26,28,2024-10-25,2024-10-25
FER,ES005,CA,2024-12-20,,,2024-12-20,2024-12-18
FER,ES005,CB,2024-08-28,2024-09-25,28,2024-08-29,2024-08-26
FER,CL001,5Q,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,5Q,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,NL001,A2,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,I4,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,NL001,I4,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,I4,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,NL001,I4,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,CL001,1Q,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,1Q,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,ES004,I2,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,CL001,3J,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,3J,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,3J,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,ES003,GS,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,CL001,3J,2024-12-31,,,2024-12-31,2024-12-26
FER,ES006,GS,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,CL001,1Q,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,1Q,2024-12-31,,,2024-12-31,2024-12-26
FER,ES003,G4,2025-01-02,,,,
FER,ES006,G4,2025-01-02,,,,
FER,ES003,GA,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES006,GA,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES003,GC,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES006,GC,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,A2,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,GC,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES006,GC,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES003,GS,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,GS,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,GS,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES006,GS,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES001,G0,2024-10-02,2024-10-26,25,2024-10-25,2024-10-26
FER,ES004,I3,2025-01-02,,,,
FER,ES002,G0,2024-10-02,2024-10-26,25,2024-10-25,2024-10-26
FER,ES003,G0,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES003,GA,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES006,GA,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,CL001,3G,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,3G,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,3G,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,ES003,GI,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,GI,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,GI,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,CL001,3G,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,ES006,GI,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,CL001,3G,2024-12-31,,,2024-12-31,2024-12-26
FER,ES003,GI,2025-01-02,,,,
FER,ES006,GI,2025-01-02,,,,
FER,ES004,I1,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,CL001,3G,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,3J,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,3J,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,5K,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,5K,2024-12-31,,,2024-12-31,2024-12-26
FER,ES006,G0,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES003,GA,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES006,GA,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES003,GA,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,GA,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES004,I1,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES004,I1,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES004,I1,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES004,I1,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES004,I3,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES002,CC,2024-08-28,2024-09-25,28,2024-08-29,2024-08-27
FER,CL001,3B,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,3B,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,3B,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,3B,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,3B,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,CL001,3B,2024-12-31,,,2024-12-31,2024-12-26
FER,ES004,I3,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES002,CC,2024-07-29,2024-08-27,29,2024-07-27,2024-07-24
FER,ES001,A1,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES001,A1,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES001,A1,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES001,A0,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES001,A0,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES002,C0,2024-12-20,,,2024-12-20,2024-12-19
FER,ES004,C2,2024-10-29,2024-11-26,28,2024-10-25,2024-10-26
FER,ES005,C2,2024-10-29,2024-11-26,28,2024-10-25,2024-10-26
FER,NL001,G5,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,NL001,G5,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,G5,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,NL001,G5,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,NL001,G5,2025-01-02,,,,
FER,NL001,G5,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,CL001,3E,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,3E,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,3E,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,5K,2024-12-31,,,2024-12-31,2024-12-26
FER,CL001,5Q,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,5Q,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,5Q,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,3I,2024-07-31,2024-08-28,28,2024-07-31,2024-07-28
FER,CL001,3I,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,CL001,3I,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,3I,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,CL001,5Q,2024-12-31,,,2024-12-31,2024-12-26
FER,CL001,5K,2024-09-30,2024-10-29,29,2024-09-30,2024-09-26
FER,CL001,5K,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,5K,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,ES001,A1,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,NL001,A2,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,NL001,I4,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,NL001,I4,2025-01-02,,,,
FER,ES004,I2,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES002,CD,2024-09-26,2024-10-26,30,2024-09-27,2024-09-25
FER,ES005,CD,2024-09-26,2024-10-26,30,2024-09-27,2024-09-25
FER,ES002,CD,2024-12-20,,,2024-12-20,2024-12-19
FER,ES005,CD,2024-12-20,,,2024-12-20,2024-12-19
FER,CL001,3H,2024-08-30,2024-09-27,28,2024-08-30,2024-08-27
FER,ES001,A0,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES001,A0,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES001,A0,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES002,C6,2024-12-20,,,2024-12-20,2024-12-19
FER,ES002,C5,2024-12-20,,,2024-12-20,2024-12-19
FER,ES003,G1,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES006,G1,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES003,G1,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,G1,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,G3,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES006,G3,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,C8,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,NL001,G6,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,NL001,G6,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,NL001,G6,2025-01-02,,,,
FER,ES004,I1,2025-01-02,,,,
FER,ES004,I2,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES001,G0,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES002,G0,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES003,G0,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES006,G0,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES003,G2,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES006,G2,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES003,G3,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES006,G3,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES003,G2,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,G2,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,M0,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES003,M0,2024-10-01,2024-10-26,25,2024-10-25,2024-10-26
FER,ES002,C7,2024-09-26,2024-10-26,30,2024-09-27,2024-09-25
FER,CL001,1Q,2024-10-31,2024-11-27,27,2024-10-31,2024-10-28
FER,CL001,1Q,2024-11-29,2024-12-27,28,2024-11-29,2024-11-26
FER,NL001,C8,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES001,G0,2025-01-02,,,,
FER,ES003,GA,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES006,GA,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES003,GC,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES006,GC,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES003,GC,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES006,GC,2024-09-02,2024-09-25,23,2024-09-27,2024-09-25
FER,ES003,GC,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES006,GC,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,NL001,C8,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES002,G0,2025-01-02,,,,
FER,ES003,G0,2025-01-02,,,,
FER,ES006,G0,2025-01-02,,,,
FER,ES003,G2,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES006,G2,2024-11-04,2024-11-26,22,2024-11-28,2024-11-26
FER,ES005,CA,2024-11-27,2024-12-19,22,2024-11-28,2024-11-25
FER,ES001,G0,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES002,G0,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES003,G0,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES003,GS,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES006,GS,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES003,GS,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES006,GS,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES006,G0,2024-12-02,2024-12-19,17,2024-12-20,2024-12-19
FER,ES003,G3,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
FER,ES006,G3,2024-08-01,2024-08-27,26,2024-08-29,2024-08-27
